               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  63,            0.026995,            0.014426,           0.0012648,             0.92727,             0.82774,             0.88748,             0.58613,            0.032897,            0.013164,           0.0032862,            0.003862,            0.003862,            0.003862
                  64,            0.026476,            0.014556,           0.0015797,             0.94924,             0.81919,             0.88749,             0.59542,            0.032889,            0.013559,           0.0025069,            0.003763,            0.003763,            0.003763
                  65,            0.026499,            0.013723,           0.0016459,             0.94049,             0.83178,             0.89552,             0.59596,             0.03275,             0.01327,           0.0022117,            0.003664,            0.003664,            0.003664
                  66,            0.027685,            0.014629,           0.0016657,             0.92348,             0.83087,             0.89612,             0.59597,             0.03216,            0.012941,           0.0025552,            0.003565,            0.003565,            0.003565
                  67,            0.026662,             0.01465,           0.0015143,             0.93652,             0.83687,             0.89255,             0.58985,            0.032627,              0.0131,           0.0024388,            0.003466,            0.003466,            0.003466
                  68,            0.026535,            0.014376,              0.0013,             0.92332,             0.80189,             0.88525,             0.58717,            0.032661,            0.013279,           0.0036956,            0.003367,            0.003367,            0.003367
                  69,            0.025961,               0.014,           0.0015301,             0.93965,             0.83246,             0.89617,             0.60122,            0.032341,            0.012948,           0.0027564,            0.003268,            0.003268,            0.003268
                  70,            0.026443,            0.014202,           0.0014312,             0.94257,             0.83168,             0.89662,             0.59296,            0.032578,            0.012957,           0.0029392,            0.003169,            0.003169,            0.003169
                  71,            0.026332,            0.014371,           0.0015899,             0.93187,             0.83514,             0.89715,             0.60386,            0.032199,             0.01322,           0.0021145,             0.00307,             0.00307,             0.00307
                  72,            0.026194,             0.01376,           0.0016018,              0.9463,             0.84606,             0.89867,             0.59915,            0.032962,            0.013305,           0.0017315,            0.002971,            0.002971,            0.002971
                  73,            0.025678,            0.013336,           0.0014734,             0.94408,             0.83848,             0.89528,             0.60629,            0.032406,            0.013104,             0.00188,            0.002872,            0.002872,            0.002872
                  74,            0.025659,            0.013436,           0.0015663,             0.94584,             0.83748,             0.89956,             0.60516,            0.032548,            0.013066,           0.0019493,            0.002773,            0.002773,            0.002773
                  75,            0.025562,            0.013827,            0.001135,             0.95328,              0.8356,             0.89491,             0.60105,            0.032355,            0.013127,           0.0023663,            0.002674,            0.002674,            0.002674
                  76,            0.024854,            0.013544,           0.0012159,             0.95106,             0.81757,             0.89246,             0.60819,            0.032481,             0.01321,           0.0023699,            0.002575,            0.002575,            0.002575
                  77,            0.025897,            0.013496,           0.0013764,             0.93779,             0.82796,             0.89086,             0.60672,            0.032492,            0.013183,           0.0024184,            0.002476,            0.002476,            0.002476
                  78,            0.025793,            0.013294,           0.0012567,             0.95348,             0.84069,             0.89606,             0.60774,            0.032431,            0.013252,           0.0016729,            0.002377,            0.002377,            0.002377
                  79,            0.025291,            0.013841,           0.0011969,             0.95251,             0.82578,             0.89533,             0.60804,            0.032503,            0.013129,           0.0021897,            0.002278,            0.002278,            0.002278
